entrez,gene_ID,cluster
8553,BHLHE40,2
8569,MKNK1,1
8573,CASK,3
8574,AKR7A2,1
8607,RUVBL1,1
8624,PSMG1,3
8678,BECN1,1
8720,MBTPS1,3
8726,EED,2
8727,CTNNAL1,2
8731,RNMT,2
8804,CREG1,3
8821,INPP4B,2
8826,IQGAP1,3
8837,CFLAR,3
8869,ST3GAL5,2
8878,SQSTM1,1
8884,SLC5A6,1
8895,CPNE3,3
8914,TIMELESS,2
8974,P4HA2,3
8985,PLOD3,2
8996,NOL3,2
9016,SLC25A14,1
9019,MPZL1,3
9053,MAP7,3
9093,DNAJA3,1
9097,USP14,2
9112,MTA1,2
9124,PDLIM1,2
9126,SMC3,1
9133,CCNB2,2
9134,CCNE2,2
9143,SYNGR3,3
9170,LPAR2,3
9181,ARHGEF2,3
9183,ZW10,1
9212,AURKB,2
9221,NOLC1,1
9246,UBE2L6,2
9261,MAPKAPK2,2
9267,CYTH1,3
9270,ITGB1BP1,3
9275,BCL7B,2
9276,COPB2,3
9289,ADGRG1,4
9375,TM9SF2,3
9448,MAP4K4,2
9455,HOMER2,3
9467,SH3BP5,3
9488,PIGB,3
9491,PSMF1,2
9517,SPTLC2,3
9519,TBPL1,2
9531,BAG3,1
9533,POLR1C,1
9637,FEZ2,2
9653,HS2ST1,3
9670,IPO13,2
9686,VGLL4,3
9690,UBE3C,2
9695,EDEM1,1
9697,TRAM2,1
9702,CEP57,2
9703,KIAA0100,2
9709,HERPUD1,1
9710,GARRE1,4
9712,USP6NL,3
9738,CCP110,2
9761,MLEC,3
9797,TATDN2,1
9801,MRPL19,1
9805,SCRN1,1
9813,EFCAB14,2
9817,KEAP1,2
9833,MELK,2
9842,PLEKHM1,1
9847,C2CD5,3
9851,KIAA0753,1
9854,C2CD2L,2
9868,TOMM70,4
9897,WASHC5,4
9903,KLHL21,2
9917,FAM20B,3
9918,NCAPD2,2
9924,PAN2,2
9926,LPGAT1,3
9928,KIF14,2
9943,OXSR1,2
9961,MVP,3
9988,DMTF1,2
10007,GNPDA1,3
10013,HDAC6,1
10038,PARP2,1
10046,MAMLD1,2
10049,DNAJB6,1
10051,SMC4,2
10057,ABCC5,1
10058,ABCB6,1
10059,DNM1L,3
10099,TSPAN3,3
10112,KIF20A,2
10123,ARL4C,3
10131,TRAP1,1
10150,MBNL2,3
